iter	Passed	Remaining
0	134	134675
1	135	67551
2	135	45153
3	136	33951
4	136	27232
5	137	22752
6	137	19550
7	138	17149
8	138	15283
9	139	13791
10	139	12571
11	140	11554
12	140	10694
13	141	9955
14	141	9314
15	142	8754
16	142	8259
17	143	7818
18	143	7424
19	144	7071
20	144	6750
21	145	6459
22	145	6193
23	146	5950
24	146	5725
25	147	5518
26	147	5328
27	148	5150
28	148	4985
29	149	4831
30	149	4686
31	150	4550
32	150	4422
33	151	4302
34	151	4189
35	152	4083
36	153	3982
37	153	3886
38	153	3794
39	154	3707
40	154	3625
41	155	3546
42	155	3471
43	156	3399
44	156	3330
45	157	3265
46	157	3202
47	158	3143
48	159	3085
49	159	3030
50	159	2977
51	160	2925
52	161	2876
53	161	2829
54	162	2784
55	162	2742
56	163	2700
57	163	2659
58	164	2620
59	164	2582
60	165	2544
61	165	2508
62	166	2473
63	166	2439
64	167	2406
65	167	2374
66	168	2343
67	168	2310
68	169	2280
69	169	2252
70	170	2225
71	170	2198
72	171	2173
73	171	2147
74	172	2122
75	172	2098
76	173	2075
77	173	2052
78	174	2030
79	174	2008
80	175	1987
81	175	1966
82	176	1946
83	176	1927
84	177	1906
85	177	1887
86	177	1867
87	178	1849
88	178	1831
89	179	1814
90	179	1797
91	180	1780
92	180	1764
93	181	1748
94	181	1732
95	182	1717
96	182	1702
97	183	1688
98	183	1673
99	184	1659
100	184	1645
101	185	1630
102	185	1617
103	186	1603
104	186	1591
105	187	1578
106	187	1566
107	188	1554
108	188	1542
109	189	1531
110	189	1519
111	190	1508
112	190	1497
113	191	1486
114	191	1475
115	192	1464
116	192	1453
117	193	1443
118	193	1432
119	194	1422
120	194	1412
121	195	1403
122	195	1392
123	195	1383
124	196	1374
125	196	1365
126	197	1356
127	197	1346
128	198	1337
129	198	1329
130	199	1321
131	199	1312
132	200	1304
133	200	1296
134	201	1289
135	201	1281
136	202	1273
137	202	1265
138	203	1258
139	203	1251
140	204	1243
141	204	1236
142	205	1229
143	205	1222
144	206	1215
145	206	1208
146	207	1202
147	207	1195
148	208	1188
149	208	1182
150	209	1175
151	209	1169
152	210	1163
153	210	1157
154	211	1151
155	211	1145
156	212	1139
157	212	1133
158	213	1127
159	213	1121
160	214	1116
161	214	1110
162	215	1104
163	215	1099
164	216	1093
165	216	1089
166	217	1084
167	217	1079
168	218	1074
169	219	1069
170	219	1064
171	220	1059
172	220	1054
173	221	1050
174	221	1045
175	222	1040
176	222	1035
177	223	1030
178	223	1026
179	224	1021
180	224	1016
181	225	1011
182	225	1007
183	226	1003
184	226	999
185	227	994
186	227	991
187	228	987
188	229	983
189	229	979
190	230	975
191	230	971
